CustomerID,Age,TenureMonths,MonthlyLogins,SupportTickets,CustomerReview,Churn
CUST_0001,56,1,11,4,Customer support is useless. Worst service ever experienced.,1
CUST_0002,46,19,15,2,Highly recommended. It saves me so much time every single day.,0
CUST_0003,32,11,24,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0004,60,5,6,0,"Love the new updates, works perfectly fine on my device.",0
CUST_0005,25,12,23,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0006,38,3,3,2,Terrible experience. The app crashes constantly during checkout.,1
CUST_0007,56,1,17,1,Great experience so far. The features are intuitive and easy to use.,0
CUST_0008,36,1,5,4,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0009,40,8,28,3,Customer support is useless. Worst service ever experienced.,1
CUST_0010,28,10,12,3,Terrible experience. The app crashes constantly during checkout.,1
CUST_0011,28,11,18,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0012,41,12,14,1,"Love the new updates, works perfectly fine on my device.",0
CUST_0013,53,13,21,3,Terrible experience. The app crashes constantly during checkout.,1
CUST_0014,57,12,24,2,Great experience so far. The features are intuitive and easy to use.,0
CUST_0015,41,14,11,4,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0016,20,2,9,3,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0017,39,19,2,2,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0018,19,18,12,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0019,41,3,3,0,Customer support is useless. Worst service ever experienced.,1
CUST_0020,61,23,3,4,Customer support is useless. Worst service ever experienced.,1
CUST_0021,47,17,1,0,Customer support is useless. Worst service ever experienced.,1
CUST_0022,55,8,8,1,"Love the new updates, works perfectly fine on my device.",0
CUST_0023,19,10,22,0,Highly recommended. It saves me so much time every single day.,0
CUST_0024,38,2,28,0,"Love the new updates, works perfectly fine on my device.",0
CUST_0025,50,19,29,3,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0026,29,9,8,2,Highly recommended. It saves me so much time every single day.,0
CUST_0027,39,7,11,4,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0028,61,4,9,0,Highly recommended. It saves me so much time every single day.,0
CUST_0029,42,21,5,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0030,44,18,14,0,Highly recommended. It saves me so much time every single day.,0
CUST_0031,59,13,28,1,Great experience so far. The features are intuitive and easy to use.,0
CUST_0032,45,11,3,0,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0033,33,4,21,3,Terrible experience. The app crashes constantly during checkout.,1
CUST_0034,32,21,5,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0035,64,4,5,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0036,61,10,19,0,Great experience so far. The features are intuitive and easy to use.,0
CUST_0037,20,5,27,4,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0038,54,9,14,1,"Love the new updates, works perfectly fine on my device.",0
CUST_0039,24,3,26,1,Great experience so far. The features are intuitive and easy to use.,0
CUST_0040,38,17,4,0,Terrible experience. The app crashes constantly during checkout.,1
CUST_0041,26,3,25,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0042,56,16,13,4,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0043,35,4,10,1,Highly recommended. It saves me so much time every single day.,0
CUST_0044,21,18,25,4,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0045,42,17,18,0,Great experience so far. The features are intuitive and easy to use.,0
CUST_0046,31,7,8,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0047,26,23,8,1,"Love the new updates, works perfectly fine on my device.",0
CUST_0048,43,5,7,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0049,19,12,8,4,Customer support is useless. Worst service ever experienced.,1
CUST_0050,37,17,14,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0051,45,23,19,3,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0052,64,13,29,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0053,24,23,6,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0054,61,3,1,2,Terrible experience. The app crashes constantly during checkout.,1
CUST_0055,25,9,23,1,Great experience so far. The features are intuitive and easy to use.,0
CUST_0056,64,17,15,0,Great experience so far. The features are intuitive and easy to use.,0
CUST_0057,52,17,1,2,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0058,31,20,25,3,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0059,34,16,17,3,Customer support is useless. Worst service ever experienced.,1
CUST_0060,53,22,1,4,Customer support is useless. Worst service ever experienced.,1
CUST_0061,57,13,15,1,Highly recommended. It saves me so much time every single day.,0
CUST_0062,21,19,23,2,Great experience so far. The features are intuitive and easy to use.,0
CUST_0063,19,17,2,4,Customer support is useless. Worst service ever experienced.,1
CUST_0064,23,4,14,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0065,59,12,21,1,Great experience so far. The features are intuitive and easy to use.,0
CUST_0066,21,9,8,3,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0067,46,19,8,0,Highly recommended. It saves me so much time every single day.,0
CUST_0068,35,12,19,3,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0069,43,9,7,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0070,61,7,19,0,"Love the new updates, works perfectly fine on my device.",0
CUST_0071,51,14,6,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0072,27,20,6,1,Great experience so far. The features are intuitive and easy to use.,0
CUST_0073,53,19,3,0,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0074,31,15,7,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0075,48,16,19,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0076,32,21,8,3,Customer support is useless. Worst service ever experienced.,1
CUST_0077,25,5,10,1,"Love the new updates, works perfectly fine on my device.",0
CUST_0078,31,3,20,2,Highly recommended. It saves me so much time every single day.,0
CUST_0079,40,12,15,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0080,57,20,15,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0081,38,21,29,2,"Love the new updates, works perfectly fine on my device.",0
CUST_0082,33,4,1,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0083,62,21,20,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0084,35,23,7,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0085,64,16,27,2,"Love the new updates, works perfectly fine on my device.",0
CUST_0086,41,7,4,2,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0087,43,13,29,3,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0088,42,21,6,4,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0089,62,10,25,0,Great experience so far. The features are intuitive and easy to use.,0
CUST_0090,58,7,1,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0091,46,14,29,4,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0092,32,5,5,3,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0093,62,3,27,0,"Love the new updates, works perfectly fine on my device.",0
CUST_0094,18,23,23,3,Customer support is useless. Worst service ever experienced.,1
CUST_0095,42,11,1,0,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0096,24,11,4,1,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0097,26,18,22,0,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0098,41,15,2,3,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0099,18,12,10,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0100,61,9,5,0,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0101,25,10,27,0,"Love the new updates, works perfectly fine on my device.",0
CUST_0102,41,12,10,2,"Love the new updates, works perfectly fine on my device.",0
CUST_0103,28,17,1,4,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0104,34,6,22,1,"Love the new updates, works perfectly fine on my device.",0
CUST_0105,25,7,6,3,Customer support is useless. Worst service ever experienced.,1
CUST_0106,52,14,13,1,Highly recommended. It saves me so much time every single day.,0
CUST_0107,52,13,15,4,Customer support is useless. Worst service ever experienced.,1
CUST_0108,50,8,4,0,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0109,22,10,13,0,Highly recommended. It saves me so much time every single day.,0
CUST_0110,59,9,24,4,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0111,56,18,20,0,"Love the new updates, works perfectly fine on my device.",0
CUST_0112,58,2,24,0,Great experience so far. The features are intuitive and easy to use.,0
CUST_0113,45,5,15,0,Highly recommended. It saves me so much time every single day.,0
CUST_0114,24,5,29,3,Terrible experience. The app crashes constantly during checkout.,1
CUST_0115,26,6,8,3,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0116,25,19,5,2,Great experience so far. The features are intuitive and easy to use.,0
CUST_0117,29,8,29,1,Highly recommended. It saves me so much time every single day.,0
CUST_0118,51,16,15,4,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0119,50,13,4,4,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0120,40,1,12,4,Customer support is useless. Worst service ever experienced.,1
CUST_0121,41,22,13,2,Great experience so far. The features are intuitive and easy to use.,0
CUST_0122,54,20,2,3,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0123,52,17,27,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0124,61,7,19,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0125,57,13,19,1,"Love the new updates, works perfectly fine on my device.",0
CUST_0126,39,4,4,0,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0127,44,4,4,3,Terrible experience. The app crashes constantly during checkout.,1
CUST_0128,52,6,26,3,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0129,18,19,11,2,Highly recommended. It saves me so much time every single day.,0
CUST_0130,52,12,27,3,Terrible experience. The app crashes constantly during checkout.,1
CUST_0131,54,22,5,4,Customer support is useless. Worst service ever experienced.,1
CUST_0132,64,7,20,4,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0133,31,10,11,2,"Love the new updates, works perfectly fine on my device.",0
CUST_0134,20,19,10,4,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0135,18,7,8,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0136,22,3,6,2,"Love the new updates, works perfectly fine on my device.",0
CUST_0137,43,13,6,1,"Love the new updates, works perfectly fine on my device.",0
CUST_0138,31,13,8,0,Highly recommended. It saves me so much time every single day.,0
CUST_0139,56,18,23,1,"Love the new updates, works perfectly fine on my device.",0
CUST_0140,44,20,15,0,Highly recommended. It saves me so much time every single day.,0
CUST_0141,26,8,26,0,Highly recommended. It saves me so much time every single day.,0
CUST_0142,32,9,14,1,Highly recommended. It saves me so much time every single day.,0
CUST_0143,32,7,11,2,Highly recommended. It saves me so much time every single day.,0
CUST_0144,43,1,12,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0145,59,3,26,4,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0146,30,13,13,0,Great experience so far. The features are intuitive and easy to use.,0
CUST_0147,49,17,8,0,"Love the new updates, works perfectly fine on my device.",0
CUST_0148,56,1,18,2,Great experience so far. The features are intuitive and easy to use.,0
CUST_0149,49,6,25,3,Terrible experience. The app crashes constantly during checkout.,1
CUST_0150,21,21,1,1,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0151,47,6,15,0,"Love the new updates, works perfectly fine on my device.",0
CUST_0152,54,12,8,4,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0153,40,13,28,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0154,56,13,11,1,Highly recommended. It saves me so much time every single day.,0
CUST_0155,62,15,12,2,Great experience so far. The features are intuitive and easy to use.,0
CUST_0156,32,21,12,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0157,60,16,4,1,Terrible experience. The app crashes constantly during checkout.,1
CUST_0158,46,22,16,0,"Love the new updates, works perfectly fine on my device.",0
CUST_0159,53,21,4,2,Customer support is useless. Worst service ever experienced.,1
CUST_0160,30,11,5,2,Great experience so far. The features are intuitive and easy to use.,0
CUST_0161,49,5,24,4,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0162,24,4,5,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0163,39,3,8,0,Great experience so far. The features are intuitive and easy to use.,0
CUST_0164,45,19,10,0,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0165,19,20,17,3,Terrible experience. The app crashes constantly during checkout.,1
CUST_0166,59,18,28,4,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0167,62,15,26,1,Highly recommended. It saves me so much time every single day.,0
CUST_0168,23,9,9,2,Great experience so far. The features are intuitive and easy to use.,0
CUST_0169,45,17,22,0,Highly recommended. It saves me so much time every single day.,0
CUST_0170,45,14,19,2,Highly recommended. It saves me so much time every single day.,0
CUST_0171,61,15,29,2,Great experience so far. The features are intuitive and easy to use.,0
CUST_0172,61,1,14,3,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0173,37,21,8,4,Customer support is useless. Worst service ever experienced.,1
CUST_0174,47,22,9,0,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0175,28,22,22,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0176,45,3,11,0,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0177,42,16,23,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0178,56,23,1,3,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0179,50,11,14,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0180,18,12,5,0,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0181,44,10,21,0,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0182,30,16,26,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0183,58,8,14,2,"Love the new updates, works perfectly fine on my device.",0
CUST_0184,20,6,4,2,Terrible experience. The app crashes constantly during checkout.,1
CUST_0185,56,12,22,1,"Love the new updates, works perfectly fine on my device.",0
CUST_0186,23,21,23,3,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0187,25,8,25,2,Highly recommended. It saves me so much time every single day.,0
CUST_0188,44,4,1,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0189,26,8,22,1,Highly recommended. It saves me so much time every single day.,0
CUST_0190,54,18,23,1,Highly recommended. It saves me so much time every single day.,0
CUST_0191,50,5,19,4,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0192,59,9,8,3,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0193,61,4,15,4,Customer support is useless. Worst service ever experienced.,1
CUST_0194,41,22,21,3,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0195,32,17,15,4,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0196,49,9,9,4,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0197,49,1,21,0,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0198,41,21,9,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0199,58,20,10,4,Customer support is useless. Worst service ever experienced.,1
CUST_0200,29,13,20,4,Customer support is useless. Worst service ever experienced.,1
CUST_0201,56,16,25,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0202,19,13,21,1,"Love the new updates, works perfectly fine on my device.",0
CUST_0203,20,14,26,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0204,54,3,9,1,Great experience so far. The features are intuitive and easy to use.,0
CUST_0205,34,6,3,2,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0206,19,18,20,4,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0207,19,19,25,4,Customer support is useless. Worst service ever experienced.,1
CUST_0208,45,5,26,0,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0209,40,15,11,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0210,54,2,6,3,Customer support is useless. Worst service ever experienced.,1
CUST_0211,49,10,2,0,Terrible experience. The app crashes constantly during checkout.,1
CUST_0212,50,18,7,2,Great experience so far. The features are intuitive and easy to use.,0
CUST_0213,18,13,18,2,Highly recommended. It saves me so much time every single day.,0
CUST_0214,36,5,27,0,"Love the new updates, works perfectly fine on my device.",0
CUST_0215,19,23,2,4,Customer support is useless. Worst service ever experienced.,1
CUST_0216,61,1,27,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0217,43,22,17,4,Customer support is useless. Worst service ever experienced.,1
CUST_0218,49,1,11,0,Great experience so far. The features are intuitive and easy to use.,0
CUST_0219,23,18,27,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0220,49,15,12,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0221,21,17,27,3,Terrible experience. The app crashes constantly during checkout.,1
CUST_0222,28,11,19,2,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0223,34,21,22,3,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0224,55,22,24,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0225,41,17,25,2,"Love the new updates, works perfectly fine on my device.",0
CUST_0226,22,13,7,4,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0227,51,1,20,1,Highly recommended. It saves me so much time every single day.,0
CUST_0228,23,2,6,0,Highly recommended. It saves me so much time every single day.,0
CUST_0229,39,9,21,2,"Love the new updates, works perfectly fine on my device.",0
CUST_0230,28,3,24,1,"Love the new updates, works perfectly fine on my device.",0
CUST_0231,33,1,1,1,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0232,50,21,17,2,Highly recommended. It saves me so much time every single day.,0
CUST_0233,26,16,29,4,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0234,23,23,11,1,Highly recommended. It saves me so much time every single day.,0
CUST_0235,33,6,22,3,Very frustrated with the frequent bugs and slow loading times.,1
CUST_0236,46,17,26,1,Highly recommended. It saves me so much time every single day.,0
CUST_0237,20,5,28,4,Terrible experience. The app crashes constantly during checkout.,1
CUST_0238,37,5,18,4,Customer support is useless. Worst service ever experienced.,1
CUST_0239,53,6,21,3,Terrible experience. The app crashes constantly during checkout.,1
CUST_0240,36,3,17,1,Highly recommended. It saves me so much time every single day.,0
CUST_0241,43,21,7,4,The recent update ruined everything. Planning to cancel my subscription.,1
CUST_0242,20,23,17,2,Great experience so far. The features are intuitive and easy to use.,0
CUST_0243,36,5,20,0,Highly recommended. It saves me so much time every single day.,0
CUST_0244,37,21,9,0,Highly recommended. It saves me so much time every single day.,0
CUST_0245,49,5,17,0,Great experience so far. The features are intuitive and easy to use.,0
CUST_0246,24,10,20,1,Amazing app! Extremely smooth user interface and very helpful customer service.,0
CUST_0247,58,10,22,3,Terrible experience. The app crashes constantly during checkout.,1
CUST_0248,50,19,22,4,Very frustrated with the frequent bugs and slow loading times.,1
